TMMC_ID,CONFIDENCE  OF PORPICIDE
C-737,PROBABLE
C-736,UNLIKELY
C-735,UNLIKELY
C-734,UNLIKELY
C-733,SUSPECT
C-732,UNLIKELY
C-731,UNLIKELY
C-724,UNLIKELY
C-723,UNLIKELY
C-721,PROBABLE
C-715,CONFIRMED
C-714,CONFIRMED
C-711,UNLIKELY
C-701,UNLIKELY
C-700,UNLIKELY
C-693,CONFIRMED
C-687,PROBABLE
C-686,CONFIRMED
C-685,UNLIKELY
C-683,SUSPECT
C-682,UNLIKELY
C-677,PROBABLE
C-675,SUSPECT
C-667,SUSPECT
C-664,UNLIKELY
C-662,SUSPECT
C-658-F,CONFIRMED
C-658,CONFIRMED
C-657,CONFIRMED
C-655,PROBABLE
C-654,CONFIRMED
C-653,UNLIKELY
C-652,UNLIKELY
C-650,UNLIKELY
C-648,UNLIKELY
C-641,PROBABLE
C-633,CONFIRMED
C-632,CONFIRMED
C-628,PROBABLE
C-627,PROBABLE
C-626,CONFIRMED
C-624,CONFIRMED
C-623,UNLIKELY
C-622,UNLIKELY
C-621,UNLIKELY
C-618,UNLIKELY
C-617,UNLIKELY
C-616,UNLIKELY
C-615,UNLIKELY
C-614,UNLIKELY
C-613,UNLIKELY
C-612,UNLIKELY
C-611,UNLIKELY
C-610,UNLIKELY
C-609,SUSPECT
C-606,CONFIRMED
C-602,UNLIKELY
C-600-F,PROBABLE
C-600,PROBABLE
C-586,CONFIRMED
C-585,CONFIRMED
C-582,CONFIRMED
C-581,CONFIRMED
C-580,CONFIRMED
C-578,PROBABLE
C-576,UNLIKELY
C-573,PROBABLE
C-572,CONFIRMED
C-571,CONFIRMED
C-570,CONFIRMED
C-569,UNLIKELY
C-568,UNLIKELY
C-566,UNLIKELY
C-565,UNLIKELY
C-565-F,UNLIKELY
C-564,CONFIRMED
C-563,UNLIKELY
C-557,UNLIKELY
C-554,UNLIKELY
C-550,PROBABLE
C-546,PROBABLE
C-545,PROBABLE
C-544,PROBABLE
C-543,CONFIRMED
C-542,PROBABLE
C-541,PROBABLE
C-540,UNLIKELY
C-538,UNLIKELY
C-536,UNLIKELY
C-535,UNLIKELY
C-533,UNLIKELY
C-532,PROBABLE
C-531,CONFIRMED
C-529,UNLIKELY
C-526,UNLIKELY
C-524,UNLIKELY
C-524-F,UNLIKELY
C-516,CONFIRMED
C-515,CONFIRMED
C-514,UNLIKELY
C-513,CONFIRMED
C-511,PROBABLE
C-508,PROBABLE
C-507,UNLIKELY
C-506,SUSPECT
C-504,UNLIKELY
C-503,CONFIRMED
C-502,UNLIKELY
C-501,CONFIRMED
C-240,CONFIRMED
C-276,SUSPECT
C-278,PROBABLE
C-279,CONFIRMED
C-281,PROBABLE
C-285,CONFIRMED
C-286,PROBABLE
C-289,CONFIRMED
C-294,PROBABLE
C-296,PROBABLE
C-301,PROBABLE
C-308,CONFIRMED
C-310,PROBABLE
C-311,CONFIRMED
C-329,PROBABLE
C-346,PROBABLE
C-348,PROBABLE
C-352,PROBABLE
C-357,PROBABLE
C-366,PROBABLE
C-369,CONFIRMED
C-370,PROBABLE
C-371,PROBABLE
C-389,CONFIRMED
C-392,PROBABLE
C-393,CONFIRMED
C-399,CONFIRMED
C-400,PROBABLE
C-403,CONFIRMED
C-404,CONFIRMED
C-405,CONFIRMED
C-406,CONFIRMED
C-407,PROBABLE
C-408,PROBABLE
C-419,PROBABLE
C-423,SUSPECT
C-428,PROBABLE
C-431,PROBABLE
C-434,CONFIRMED
C-437,CONFIRMED
C-441,PROBABLE
C-446,CONFIRMED
C-447,PROBABLE
C-458,PROBABLE
C-462,PROBABLE
C-465,PROBABLE
C-474,CONFIRMED
C-476,PROBABLE
C-478,CONFIRMED
C-480,CONFIRMED
C-485,CONFIRMED
C-489,CONFIRMED
C-494,PROBABLE
C-496,PROBABLE
